DESCRIPTION,CREATED_BY_ID,CLOSED_BY_ID,VEHICLE_ID,VEHICLE_METER_VALUE,VEHICLE_METER_UNIT,VEHICLE_METER_AT,CUSTOM_FIELDS,REPORTED_AT,RESOLVED_AT,RESOLVED_NOTE,STATE,CREATED_AT,UPDATED_AT
défaut frein parking,6647665632626ec024efa63ffb2c8191,,c154a8db8182c5272d94914fcef8ef59,408109.6749,km,2023-07-03T00:00:00Z,,2023-06-14T17:36:00Z,2023-06-15T13:08:49.155Z,Ok,resolved,2023-06-14T17:36:51.937Z,2023-06-15T13:08:49.201Z
License plate missing,,,baa4a300d7ae080b7186d750b56ec905,400503.7444,mi,2023-07-04T00:00:00Z,{},2023-03-15T09:17:00Z,,,open,2023-03-15T09:27:27.783Z,2023-03-15T09:27:27.783Z
,0ae45da93c3296e5b2fd750c105b5d57,,5d1b4321da55ddf22ab9ee528ded8e7e,31131.3842,mi,2023-07-04T00:00:00Z,,2023-01-19T14:53:00Z,2023-01-19T20:29:50.129Z,,resolved,2023-01-19T14:54:28.062Z,2023-01-19T20:29:51.023Z
Please vacuum vehicle,e3d823bfb69a748e904ef06cbc8a3423,,a4fb73d46417597172297d2c86dfc477,169333.9159,mi,2023-07-04T00:00:00Z,"{
  ""accident_report"": ""false""
}",2023-02-11T17:32:00Z,2023-02-14T12:08:22.17Z,,resolved,2023-02-11T17:34:11.487Z,2023-02-14T12:08:22.237Z
pads,3264b7acc673cbbad595a95e32ef8408,,337857066029543d34fb6b362a70930f,14247.97073,mi,2023-05-13T00:00:00Z,{},2023-01-18T03:32:59.711Z,2023-01-18T06:30:00Z,,resolved,2023-01-18T03:32:59.902Z,2023-01-18T06:30:01.852Z
,e587014d7cd9c9bcbf37a4075c9209d8,,d3bcd5818643eee938eabbb09bb1eba9,2020.427418,km,2023-02-18T00:00:00Z,"{
  ""priority"": ""false"",
  ""unit_tagged_out_of_service"": ""false""
}",2023-02-09T03:41:00Z,2023-02-18T10:00:00Z,,resolved,2023-02-09T03:41:44.857Z,2023-02-21T16:09:48.382Z
Driver side rear brakes need to be replaced,,,8a3a50719fb1041082968e1ddf582e83,169273.8061,mi,2023-07-04T00:00:00Z,{},2023-02-15T11:58:40Z,2023-02-15T05:00:00Z,,resolved,2023-02-15T12:39:57.245Z,2023-02-16T03:28:13.982Z
Previous report,,,551263754b0b3435679c5640b4d83c6d,69143.15027,mi,2023-07-04T00:00:00Z,{},2023-06-15T15:59:01Z,,,open,2023-06-15T16:53:40.596Z,2023-06-15T16:53:40.596Z
Driver side brake light is out,,,6bea15bf0c7ad0489f0a1937c59cc2ad,16768.92957,mi,2023-01-27T00:00:00Z,{},2023-01-27T16:15:17Z,,,open,2023-01-27T16:15:17Z,2023-01-27T17:18:20.894Z
The rear camera doesn't work,afeb9b5c27c5cd2ecaa9aea7acf98891,,f14773f8d67221ad1573d06854c60bbe,251412.4763,mi,2023-07-02T00:00:00Z,{},2023-01-02T19:55:00Z,2023-01-10T23:00:00Z,,resolved,2023-01-02T18:57:08.659Z,2023-01-25T15:05:26.612Z
"h-limit, l-limit",3264b7acc673cbbad595a95e32ef8408,,86c8942891469fd0ad6d1d50751e252d,21538.77392,km,2023-06-23T00:00:00Z,{},2023-04-06T13:53:45.448Z,2023-04-06T13:54:42Z,,resolved,2023-04-06T13:53:45.724Z,2023-04-06T13:54:44.616Z
,be5217178566cd40305d7c11a95f156e,,69d63f737c5ee76a4539fa974c98d8c3,353114.7449,mi,2023-02-07T00:00:00Z,{},2023-02-09T13:34:00Z,2023-02-13T05:00:00Z,,resolved,2023-02-21T13:35:48.694Z,2023-02-21T13:57:20.973Z
pads,,,c960b9a477624b747743dd714e96d309,1483.156345,mi,2023-06-27T00:00:00Z,{},2023-06-27T11:49:07.286Z,2023-06-27T11:49:31Z,,resolved,2023-06-27T11:49:07.493Z,2023-06-27T11:49:33.449Z
Parking break not set by last driver. Driver door leaking,,,34d3fbc8d38470104b3cedb7fa33f036,455517.8247,mi,2023-07-04T00:00:00Z,{},2023-05-12T11:54:55Z,,,open,2023-05-12T12:26:56.803Z,2023-05-12T12:26:56.803Z
Back tire driver side damaged,,,1bdd646b8d99503e00ec1ca64f491b09,149180.9266,mi,2023-07-04T00:00:00Z,{},2023-05-01T22:08:39Z,2023-05-02T12:20:00Z,,resolved,2023-05-01T22:29:01.549Z,2023-05-29T20:30:27.768Z
"Face can be seen, but the image is not clear, moist or something similar is make the image blur.",cf28c1a94044186751ce43ad1381b3a8,,e5383bd9f7b08a8426f7d3d2c59519b4,175911.9321,mi,2023-07-04T00:00:00Z,{},2023-01-23T18:43:00Z,2023-01-26T21:06:00Z,,resolved,2023-01-23T18:45:01.772Z,2023-01-26T22:39:53.024Z
worn,3264b7acc673cbbad595a95e32ef8408,,f337595003756019a6537f9e01bd7a91,-11702.87881,km,2023-03-20T00:00:00Z,{},2023-02-23T15:24:30.112Z,2023-02-23T18:36:52Z,,resolved,2023-02-23T15:24:30.299Z,2023-02-23T18:36:56.532Z
Contrôle Pneumatique,fbd9273520b03afc9cc00c66361a12d8,,2296b80f4b8bfbe36411327a2f03c40d,225015.6055,km,2023-07-03T00:00:00Z,"{
  ""code_de_panne"": """",
  ""issue_codes"": """"
}",2023-03-02T14:08:25.814Z,2023-03-02T18:05:29.783Z,ok,resolved,2023-03-02T14:08:38.631Z,2023-03-02T18:05:29.829Z
airbreather line plugged fuel not equalizing,6e2cc0d4a09e4cabe3a85a278c275152,,6e83bba9188a1d9d628de20214aea4da,888014.8005,km,2023-07-04T00:00:00Z,{},2023-05-24T21:37:00Z,2023-05-26T06:00:00Z,,resolved,2023-05-24T21:39:25.526Z,2023-05-29T14:10:56.863Z
a;wejf;aweofi was grounded due to an incident involving one of our service agent and a driver. So the vehicle is grounded until a tech comes out to check and inspect the brakes.,6bf5f0a0ff460c6d92ab3c5340f09418,,7a5b9b9ad01942c25ab7168499c1946e,46054.901,mi,2023-07-04T00:00:00Z,{},2023-06-22T21:40:00Z,2023-06-26T04:59:54.043Z,,resolved,2023-06-22T21:52:24.229Z,2023-06-26T04:59:54.094Z
Rock chip.,a54758410102ecb971906ef37df8b37d,,e39b1dd660ebd0b1a40397a774098ded,40347.76547,mi,2023-07-04T00:00:00Z,{},2023-04-27T15:20:00Z,2023-04-27T15:24:03.531Z,,resolved,2023-04-27T15:22:17.794Z,2023-04-27T15:24:03.673Z
He can't get the Burstner speakers to charge,d13a73abc541340c1c3765b57ecdefe3,,21c27785187f19d055039a3a5c3c9111,-6389.886122,km,,"{
  ""base"": """",
  ""claim_accepted"": ""false"",
  ""claim_number"": """",
  ""claim_value_nzd"": """",
  ""hubspot_ticket_id"": """",
  ""hubspot_ticket_link"": """",
  ""issue_type"": """",
  ""part_eta"": """",
  ""reported"": """"
}",2023-05-25T23:44:35.841Z,2023-05-28T19:48:18.09Z,,resolved,2023-05-25T23:44:57.639Z,2023-05-28T19:48:18.961Z
,e914cca366c85f8207464718c5840e94,,a7cce07f169543dc2f1f695cd7db884c,152860.2233,km,2023-07-02T00:00:00Z,"{
  ""responsibility"": """",
  ""service_centre"": ""Mal panel beater""
}",2023-04-30T21:55:00Z,2023-05-08T14:00:00Z,,resolved,2023-04-30T21:57:31.146Z,2023-05-10T00:15:23.406Z
Bolt in back left side tire. Slow leak.,,,15f22d61c9c5907f4f6beb98372135bb,44865.2152,mi,2023-04-25T00:00:00Z,{},2023-04-25T12:11:58Z,,,open,2023-04-25T12:11:58Z,2023-04-25T16:43:00.224Z
REAR LIGHTING ISSUE,1576d95081f131b1d0ddd23ea7f1aab6,,b62f090c0a833a65b399a605ebb28635,475828.1649,mi,2023-04-25T00:00:00Z,{},2023-03-26T19:55:00Z,,,open,2023-03-26T19:56:35.598Z,2023-03-26T19:56:35.598Z
"Based on recent trip rating comments and scores in the Gig app the vehicle is likely dirty. Additionally, the last 10 Members have left the following comments on the vehicle:         ",e6def24b1dfd5adc86b11066a32a9d59,,1195c78de4b8ae938ef5a1d04f4e5096,63947.49895,mi,2023-07-04T00:00:00Z,,2023-01-10T12:12:28Z,2023-01-10T21:13:34.274Z,,resolved,2023-01-10T12:12:28.367Z,2023-01-10T21:13:36.084Z
Oil change required light on,,,b4fafb0ee57ca3a6e46708f365aad59d,368918.4668,mi,2023-07-04T00:00:00Z,{},2023-05-08T10:34:37Z,,,open,2023-05-08T11:36:40.717Z,2023-05-08T11:36:40.717Z
Boiler electrode insulation damaged during service,6610bdc731af61b800fbcd8c2f12c587,,54d2279148e6fa0dd35d270c31517c33,4354.113103,hr,2023-03-08T00:00:00Z,"{
  ""is_it_damaged"": ""false"",
  ""postpone"": ""false"",
  ""priority"": """"
}",2023-05-15T07:00:58.026Z,,,open,2023-05-15T07:01:57.776Z,2023-05-16T06:20:36.269Z
Motor not working properly,55ddef099b0d13e9909ac7ff843780c4,,d0d045798221362932e6a54a94494ec0,86814.13944,mi,2023-07-04T00:00:00Z,{},2023-01-10T04:46:08.611Z,2023-01-10T04:47:49.957Z,Installed new hydro motor fan. And tested and is working good,resolved,2023-01-10T04:46:26.911Z,2023-01-10T04:47:49.992Z
Truck will be taken to awefawef,e036e656c7f0174fc76d148b003d1537,,48f4b896837899953fc390b9182d4bdd,120463.1321,km,2023-07-02T00:00:00Z,,2023-01-25T22:57:00Z,2023-01-30T08:00:00Z,,resolved,2023-01-25T22:58:39.057Z,2023-01-30T12:44:21.165Z
Only raised to advise driver side front tyre pressure bit low back to correct pressure will req reset if get a chance after clean will take drive if not possible is there a booking on vehicle today if not will come back later on or tomorrow,d9ecf7065b56e10f4a8200247761ed29,,bb054fe0b7aeb95aeaf944a333b9bc70,43357.69554,mi,2023-06-06T00:00:00Z,{},2023-04-12T08:26:00Z,2023-04-12T09:38:35.996Z,,resolved,2023-04-12T08:28:39.818Z,2023-04-12T09:38:36.053Z
,5d31285dcce72975674112561f1e6510,,f5546a6a0f7edc505ab98cc910f3c1fa,255378.8976,km,2023-07-02T00:00:00Z,,2023-02-18T01:03:00Z,2023-03-06T03:46:35.459Z,,resolved,2023-02-18T01:08:38.69Z,2023-03-09T01:21:24.868Z
rotor true,3264b7acc673cbbad595a95e32ef8408,,5834beca959716fe1ab230d585aea25d,9437.746499,km,2023-04-24T00:00:00Z,{},2023-04-08T15:11:41.767Z,2023-04-08T15:12:13Z,,resolved,2023-04-08T15:11:41.953Z,2023-04-08T15:12:14.545Z
Trailer is off tracking,,,4e65998a81508a1d46a4c08083be716d,829145.5243,mi,2023-02-03T00:00:00Z,{},2023-01-22T00:04:24Z,2023-04-07T22:47:00Z,,resolved,2023-01-22T00:21:44.786Z,2023-04-24T14:32:43.468Z
Driver seat broken.  Cannot adjust height,,,039c0092bd07b80c8a0329f2ae1af026,636829.7341,mi,2023-07-04T00:00:00Z,{},2023-04-24T22:40:07Z,2023-05-25T17:28:00Z,,resolved,2023-04-24T23:31:54.659Z,2023-06-12T16:07:00.124Z
Check engine light was on after starting the truck this morning.  See photos of codes thrown. Engine light cleared and no issues driving. Heater was also not working; cold air was blowing - not sure if related.,53dd418424d5d9194a65da73cf0bb4dd,,8904a8a09ae5590defb1bf8991d9daf2,220602.5977,km,2023-06-29T00:00:00Z,{},2023-03-06T13:48:03.972Z,2023-04-03T06:00:00Z,,resolved,2023-03-06T13:57:02.898Z,2023-04-03T20:37:04.846Z
Front vent air flow is diverted to defrost vent for the windshield for both the heater and ac led light behind driver seat and the third passenger seat on the passenger side is out,753c27aa62a602bb873f60c449f92c80,,3b9e727bfb7cbf8b3ff219c2f6343607,143275.5142,mi,2023-06-30T00:00:00Z,{},2023-02-22T19:36:27.667Z,2023-03-16T04:00:00Z,,resolved,2023-02-22T19:46:02.571Z,2023-03-20T20:02:36.852Z
Truck is murderously hot without AC or insulation and hot air from fan blows straight up through transmission access.,278a0e347946a7bca5f6d32b8b7a7018,,5cef33887efb416e11df12bef9124177,248386.8241,mi,2023-07-04T00:00:00Z,{},2023-06-28T22:31:37.842Z,,,open,2023-06-28T22:33:41.507Z,2023-06-28T22:33:41.507Z
Fg misreads,,,6fda97d8356ff399295a2ea89db2ade1,299816.5528,mi,2023-07-04T00:00:00Z,{},2023-04-24T09:09:00Z,,,open,2023-04-24T09:24:37.616Z,2023-06-21T15:43:54.127Z
,3a88f488e92bc638302ec97cd43bea7f,,fbd9487c646103d538ff4b948428f0a2,878448.3101,mi,2023-07-04T00:00:00Z,{},2023-03-08T20:52:13.768Z,2023-03-22T20:00:00Z,,resolved,2023-03-08T20:52:13.782Z,2023-03-24T16:02:59.063Z
No city horn,,,a1116a992ac00ae47bfa21552d8b5369,290853.2352,mi,2023-07-04T00:00:00Z,{},2023-02-08T12:05:40Z,2023-03-10T05:27:09.43Z,resolved on the 8th of February,resolved,2023-02-08T14:09:54.6Z,2023-03-10T05:27:09.459Z
Tired down to wear bar,ad8689292d982f2a0fb78f684e2a94c0,,d309292ef25379804d107f2881a349cd,31280.63059,mi,2023-06-20T00:00:00Z,{},2023-02-15T12:28:57.057Z,2023-03-06T21:00:00Z,,resolved,2023-02-15T12:29:34.118Z,2023-03-07T12:47:46.371Z
Tires need to be all replaced they have all worn down,6d06ca2c7b3dcc2a15c6e1e51c06a654,,61d5b9008c67927a29b86c8f87d125ce,104747.4173,mi,2023-06-29T00:00:00Z,{},2023-01-12T17:11:00Z,2023-03-06T06:00:00Z,tires replaced,resolved,2023-01-12T17:13:56.83Z,2023-03-07T15:10:48.5Z
Replaced #7 Injector,f6ae83d9352f57ed8c44e45701e11fce,,8737013cc92d22705708cbb42f51e9b1,234162.3101,mi,2023-06-01T00:00:00Z,{},2023-05-09T12:00:00Z,2023-05-09T16:15:00Z,,resolved,2023-05-18T12:54:41.098Z,2023-05-18T13:01:06.354Z
,8629425ff147eebfffa397b081f7fb98,,38be69b561881eab8ee3cd93a3faeee7,20723.37716,mi,2023-06-30T00:00:00Z,"{
  ""common_issues"": """",
  ""end_gps_coordinates"": """",
  ""start_gps_coordinates"": """"
}",2023-06-06T16:36:00Z,2023-06-08T15:58:11.146Z,,resolved,2023-06-06T16:37:26.563Z,2023-06-21T13:56:30.623Z
Driver side brake light is out,,,c504b2ec33d18d45f46135a87774cbe2,14880.66738,mi,2023-02-07T00:00:00Z,{},2023-02-07T13:29:30Z,,,open,2023-02-07T13:29:30Z,2023-02-07T14:32:32.822Z
Crack across the windshield,,,8932e21c31434aceaa2a9b229c9d9bb0,167674.1159,mi,2023-06-26T00:00:00Z,{},2023-02-04T13:33:08Z,2023-03-07T06:30:00Z,,resolved,2023-02-04T14:21:47.739Z,2023-03-09T20:20:29.928Z
